fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name,food_category_label
167765,"Watermelon, raw",9,1100,"Iodine, I",0.0,UG,fruit
167765,"Watermelon, raw",9,1101,"Manganese, Mn",0.038,MG,fruit
167765,"Watermelon, raw",9,1103,"Selenium, Se",0.4,UG,fruit
167765,"Watermelon, raw",9,1104,"Vitamin A, IU",569.0,IU,fruit
167765,"Watermelon, raw",9,1110,"Vitamin D (D2 + D3), International Units",0.0,IU,fruit
167765,"Watermelon, raw",9,1109,Vitamin E (alpha-tocopherol),0.05,MG,fruit
167765,"Watermelon, raw",9,1165,Thiamin,0.033,MG,fruit
167765,"Watermelon, raw",9,1166,Riboflavin,0.021,MG,fruit
167765,"Watermelon, raw",9,1167,Niacin,0.178,MG,fruit
167765,"Watermelon, raw",9,1170,Pantothenic acid,0.221,MG,fruit
167765,"Watermelon, raw",9,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG,fruit
167765,"Watermelon, raw",9,1178,Vitamin B-12,0.0,UG,fruit
167765,"Watermelon, raw",9,1180,"Choline, total",4.1,MG,fruit
167765,"Watermelon, raw",9,1186,Folic acid,0.0,UG,fruit
167765,"Watermelon, raw",9,1210,Tryptophan,0.007,G,fruit
167765,"Watermelon, raw",9,1211,Threonine,0.027,G,fruit
167765,"Watermelon, raw",9,1212,Isoleucine,0.019,G,fruit
167765,"Watermelon, raw",9,1213,Leucine,0.018,G,fruit
167765,"Watermelon, raw",9,1214,Lysine,0.062,G,fruit
167765,"Watermelon, raw",9,1215,Methionine,0.006,G,fruit
167765,"Watermelon, raw",9,1217,Phenylalanine,0.015,G,fruit
167765,"Watermelon, raw",9,1219,Valine,0.016,G,fruit
167765,"Watermelon, raw",9,1220,Arginine,0.059,G,fruit
167765,"Watermelon, raw",9,1221,Histidine,0.006,G,fruit
167765,"Watermelon, raw",9,1229,Cysteine and methionine(sulfer containig AA),0.0,G,fruit
167765,"Watermelon, raw",9,1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G,fruit
167765,"Watermelon, raw",9,1272,PUFA 22:6 n-3 (DHA),0.0,G,fruit
167765,"Watermelon, raw",9,1278,PUFA 20:5 n-3 (EPA),0.0,G,fruit
167765,"Watermelon, raw",9,1316,"PUFA 18:2 n-6 c,c",0.0,G,fruit
167765,"Watermelon, raw",9,1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G,fruit
168151,"Jujube, raw",9,1003,Protein,1.2,G,fruit
168151,"Jujube, raw",9,1004,Total lipid (fat),0.2,G,fruit
168151,"Jujube, raw",9,1005,"Carbohydrate, by difference",20.23,G,fruit
168151,"Jujube, raw",9,1008,Energy,79.0,KCAL,fruit
